"","MeetID","MeetPath","Federation","Date","MeetCountry","MeetState","MeetTown","MeetName","Year","lat","long"
1,1341,"ipf/0002","IPF","24-05-00","Argentina","","Buenos Aires","2000 Womens World Championships",2000,-34.6036844,-58.3815591
2,1396,"ipf/7701","IPF","03-11-77","Australia","WA","Perth","IPF World Men's Powerlifting Championship",1977,-31.9505269,115.8604572
3,1406,"ipf/8402","IPF","13-12-84","Australia","WA","Perth","1984 World Masters Powerlifting Championship",1984,-31.9505269,115.8604572
4,4046,"pa/0301","PA","01-03-03","Australia","WA","Perth","WA Qualifying",2003,-31.9505269,115.8604572
5,4047,"pa/0302","PA","29-03-03","Australia","TAS","Hobart","Tasmania Qualifying",2003,-42.8821377,147.3271949
6,4048,"pa/0303","PA","03-05-03","Australia","WA","Perth","WA Titles",2003,-31.9505269,115.8604572
7,4049,"pa/0304","PA","30-06-03","Australia","VIC","Melbourne","Con v Con",2003,-37.8136276,144.9630576
8,4050,"pa/0305","PA","25-10-03","Australia","WA","Perth","WA Local Comp",2003,-31.9505269,115.8604572
9,4051,"pa/0401","PA","21-02-04","Australia","VIC","Melbourne","Southern Zone Open",2004,-37.8136276,144.9630576
10,4052,"pa/0402","PA","26-04-04","Australia","VIC","Melbourne","Flanders Championships",2004,-37.8136276,144.9630576
11,4053,"pa/0403","PA","01-07-04","Australia","VIC","Melbourne","Sharkey-Giffin Qualifier",2004,-37.8136276,144.9630576
12,4054,"pa/0404","PA","17-07-04","Australia","TAS","Launceston","Tasmanian Regional Launceston",2004,-41.4332215,147.1440875
13,4055,"pa/0405","PA","18-09-04","Australia","NSW","Sydney","Wynyard Invitational",2004,-33.8688197,151.2092955
14,4056,"pa/0406","PA","01-01-04","Australia","WA","Perth","WA Qualifier",2004,-31.9505269,115.8604572
15,4057,"pa/0407","PA","01-01-04","Australia","WA","Perth","WA State Championships",2004,-31.9505269,115.8604572
16,4058,"pa/0701","PA","19-05-07","Australia","TAS","Wynyard","Wynyard Open",2007,-41,145.7166671
17,4059,"pa/0702","PA","24-11-07","Australia","TAS","Wynyard","2007 Wynyard Cup",2007,-41,145.7166671
18,4060,"pa/0703","PA","06-10-07","Australia","WA","Cannington","Western Australia Open",2007,-32.017,115.934
19,4061,"pa/0704","PA","15-04-07","Australia","WA","","WA Qualifier",2007,-27.6728168,121.6283098
