"MeetID","MeetPath","Federation","Date","MeetCountry","MeetState","MeetTown","MeetName","Year","lat","long","NumberParticipants","x","y","z"
1341,"ipf/0002","IPF","24-05-00","Argentina",NA,"Buenos Aires","2000 Womens World Championships",2000,-34.6036844,-58.3815591,81,0.431518337223936,-0.700917463395961,-0.5678966755899
1396,"ipf/7701","IPF","03-11-77","Australia","WA","Perth","IPF World Men's Powerlifting Championship",1977,-31.9505269,115.8604572,73,-0.37010178648159,0.763535195093672,-0.529186803970398
1406,"ipf/8402","IPF","13-12-84","Australia","WA","Perth","1984 World Masters Powerlifting Championship",1984,-31.9505269,115.8604572,67,-0.37010178648159,0.763535195093672,-0.529186803970398
4046,"pa/0301","PA","01-03-03","Australia","WA","Perth","WA Qualifying",2003,-31.9505269,115.8604572,1,-0.37010178648159,0.763535195093672,-0.529186803970398
4047,"pa/0302","PA","29-03-03","Australia","TAS","Hobart","Tasmania Qualifying",2003,-42.8821377,147.3271949,2,-0.616809125562756,0.395571122261613,-0.68049246127727
4048,"pa/0303","PA","03-05-03","Australia","WA","Perth","WA Titles",2003,-31.9505269,115.8604572,2,-0.37010178648159,0.763535195093672,-0.529186803970398
4049,"pa/0304","PA","30-06-03","Australia","VIC","Melbourne","Con v Con",2003,-37.8136276,144.9630576,2,-0.646845363234025,0.453547827115086,-0.61309497191041
4050,"pa/0305","PA","25-10-03","Australia","WA","Perth","WA Local Comp",2003,-31.9505269,115.8604572,2,-0.37010178648159,0.763535195093672,-0.529186803970398
4051,"pa/0401","PA","21-02-04","Australia","VIC","Melbourne","Southern Zone Open",2004,-37.8136276,144.9630576,9,-0.646845363234025,0.453547827115086,-0.61309497191041
4052,"pa/0402","PA","26-04-04","Australia","VIC","Melbourne","Flanders Championships",2004,-37.8136276,144.9630576,1,-0.646845363234025,0.453547827115086,-0.61309497191041
4053,"pa/0403","PA","01-07-04","Australia","VIC","Melbourne","Sharkey-Giffin Qualifier",2004,-37.8136276,144.9630576,2,-0.646845363234025,0.453547827115086,-0.61309497191041
4054,"pa/0404","PA","17-07-04","Australia","TAS","Launceston","Tasmanian Regional Launceston",2004,-41.4332215,147.1440875,9,-0.629799268777545,0.406748329257946,-0.661746686952899
4055,"pa/0405","PA","18-09-04","Australia","NSW","Sydney","Wynyard Invitational",2004,-33.8688197,151.2092955,7,-0.727676069074416,0.399889581832906,-0.557293334643354
4056,"pa/0406","PA","01-01-04","Australia","WA","Perth","WA Qualifier",2004,-31.9505269,115.8604572,6,-0.37010178648159,0.763535195093672,-0.529186803970398
4057,"pa/0407","PA","01-01-04","Australia","WA","Perth","WA State Championships",2004,-31.9505269,115.8604572,5,-0.37010178648159,0.763535195093672,-0.529186803970398
4058,"pa/0701","PA","19-05-07","Australia","TAS","Wynyard","Wynyard Open",2007,-41,145.7166671,11,-0.623587988218683,0.425117126718518,-0.656059028990507
4059,"pa/0702","PA","24-11-07","Australia","TAS","Wynyard","2007 Wynyard Cup",2007,-41,145.7166671,11,-0.623587988218683,0.425117126718518,-0.656059028990507
4060,"pa/0703","PA","06-10-07","Australia","WA","Cannington","Western Australia Open",2007,-32.017,115.934,3,-0.370812776234793,0.762506880124757,-0.530170861839326
4061,"pa/0704","PA","15-04-07","Australia","WA",NA,"WA Qualifier",2007,-27.6728168,121.6283098,2,-0.464421930745443,0.754071973157598,-0.464421930512418
4062,"pa/0705","PA","01-12-07","Australia","VIC","Melbourne","2007 Victorian Extravaganza",2007,-37.8136276,144.9630576,14,-0.646845363234025,0.453547827115086,-0.61309497191041
4063,"pa/0706","PA","10-03-07","Australia","VIC","Mildura","Victorian-South Australian PL and BP Open and Murray River Challenge",2007,-34.2080167,142.1245535,13,-0.652791698296614,0.50773533999758,-0.562199095652567
4064,"pa/0707","PA","25-08-07","Australia","QLD",NA,"UQ Powerlifting and Weightlifting Novice Competition",2007,-20.9175738,142.7027956,8,-0.743075428318891,0.566014485912806,-0.357024522358841
4065,"pa/0708","PA","10-02-07","Australia","QLD",NA,"University of Queensland Powerlifting and Weightlifting Club Inc Novice Competition",2007,-20.9175738,142.7027956,5,-0.743075428318891,0.566014485912806,-0.357024522358841
4066,"pa/0709","PA","25-08-07","Australia","TAS","Launceston","Tasmanian Open",2007,-41.4332215,147.1440875,10,-0.629799268777545,0.406748329257946,-0.661746686952899
4067,"pa/0710","PA","02-06-07","Australia","NSW","Singleton","Singleton Strength Triathlon and Hunter Valley Bench Comp",2007,-32.5694741,151.1788155,20,-0.738347935772805,0.406265788850813,-0.538321868912517
4068,"pa/0711","PA","28-07-07","Australia","QLD","Brisbane","2007 Australian Open and Invitational Powerlifting Championships",2007,-27.4697707,153.0251235,58,-0.790725944533525,0.402458351089035,-0.461280561350963
